iter	CrossEntropy
0	0.6446196322
1	0.5986265687
2	0.558358307
3	0.521127686
4	0.4866838565
5	0.4554753505
6	0.427252774
7	0.4014246744
8	0.3771440273
9	0.3544778858
10	0.3336512389
11	0.3164825772
12	0.2984343734
13	0.2826961774
14	0.269225201
15	0.2573382004
16	0.2466424919
17	0.236288706
18	0.2270084136
19	0.2182900107
20	0.2097501673
21	0.2021228072
22	0.1951000893
23	0.1891164935
24	0.1834774987
25	0.1784130309
26	0.1734062014
27	0.1685422094
28	0.1646550763
29	0.1611572902
30	0.1578529395
31	0.1546032057
32	0.1513002571
33	0.1479645651
34	0.1451628831
35	0.1425876461
36	0.1403679086
37	0.1380356776
38	0.1362027619
39	0.1345470759
40	0.132603279
41	0.1309536652
42	0.1294405683
43	0.1278371162
44	0.1264852706
45	0.1254227974
46	0.1240569684
47	0.1229004243
48	0.1220218705
49	0.1211298726
4936
