iter	Passed	Remaining
0	12253	600421
1	20846	500320
2	27830	436018
3	34752	399652
4	38141	343276
5	47907	351320
6	63284	388749
7	68347	358823
8	72897	332087
9	77094	308377
10	82067	290965
11	86162	272847
12	91917	261610
13	96393	247869
14	101295	236356
15	106528	226372
16	110866	215212
17	116352	206849
18	121408	198087
19	127099	190649
20	131571	181694
21	142337	181156
22	150356	176505
23	157025	170110
24	167119	167119
25	173444	160102
26	179848	153204
27	187731	147503
28	197700	143162
29	204929	136619
30	212498	130241
31	222038	124896
32	230213	118594
33	236404	111248
34	241980	103706
35	249268	96937
36	258218	90725
37	267043	84329
38	273067	77018
39	280652	70163
40	288574	63345
41	294276	56052
42	300993	48998
43	309097	42149
44	318475	35386
45	325794	28329
46	334171	21330
47	344400	14350
48	350813	7159
49	358242	0
