iter	Passed	Remaining
0	12391	2465817
1	19641	1944544
2	24902	1635276
3	29555	1448206
4	34185	1333239
5	38786	1254083
6	43289	1193565
7	47497	1139948
8	51446	1091818
9	55225	1049279
10	59455	1021555
11	63102	988603
12	67232	967119
13	71242	946501
14	75343	929241
15	79517	914450
16	83639	900358
17	87653	886269
18	91229	869082
19	94880	853925
20	99085	844583
21	103060	833855
22	106779	821734
23	111167	815225
24	115343	807403
25	119909	802469
26	124175	795642
27	128610	790038
28	133135	785040
29	137371	778440
30	141372	770708
31	145097	761762
32	149325	755676
33	154078	752267
34	158831	748779
35	163576	745182
36	168525	742422
37	174335	743220
38	180096	743476
39	192480	769922
40	204987	794951
41	212738	800302
42	219080	799898
43	224568	796196
44	230364	793476
45	235811	789457
46	244641	796385
47	249971	791575
48	259079	798387
49	263510	790530
50	267875	782617
51	279642	795904
52	286870	795658
53	291264	787492
54	295115	778031
55	298683	768043
56	302683	759363
57	306575	750580
58	310472	741977
59	317743	741402
60	324446	739312
61	329435	733260
62	333391	724994
63	337023	716174
64	341747	709783
65	345556	701584
66	349936	694651
67	353584	686370
68	358411	680461
69	362811	673792
70	367572	667843
71	372001	661336
72	376522	655045
73	380541	647948
74	384456	640760
75	388195	633370
76	391842	625929
77	396589	620307
78	400211	612982
79	403542	605313
80	407249	598304
81	412097	593018
82	416449	587043
83	420341	580470
84	424320	574080
85	429235	568986
86	433400	562922
87	437264	556518
88	441873	551100
89	445972	545077
90	450343	539422
91	453912	532853
92	458874	527952
93	462862	521951
94	466721	515850
95	471092	510350
96	475633	505053
97	479384	498951
98	483987	493765
99	488303	488303
100	492565	482811
101	497480	477971
102	500682	471516
103	504965	466122
104	509237	460738
105	512730	454685
106	516730	449120
107	521892	444574
108	526197	439302
109	530240	433833
110	534270	428379
111	539165	423630
112	544120	418924
113	548088	413470
114	552194	408143
115	556215	402777
116	560705	397765
117	565738	393140
118	570095	388047
119	573470	382313
120	577803	377243
121	582930	372692
122	586777	367332
123	590590	361974
124	594306	356583
125	599819	352275
126	603775	347051
127	607216	341559
128	611708	336676
129	616632	332033
130	620535	326846
131	625059	322000
132	629210	316970
133	633760	312150
134	638207	307284
135	642572	302387
136	648030	297999
137	652626	293209
138	656887	288274
139	661106	283331
140	665810	278601
141	671098	274110
142	674888	269011
143	679307	264175
144	683454	259241
145	688682	254718
146	692493	249674
147	696629	244761
148	700472	239758
149	705072	235024
150	710023	230404
151	713766	225399
152	718258	220641
153	721973	215654
154	726343	210873
155	731971	206453
156	736416	201693
157	740174	196755
158	745149	192145
159	749482	187370
160	754082	182665
161	759364	178122
162	765087	173670
163	769946	169012
164	773998	164181
165	778556	159463
166	782701	154665
167	788383	150168
168	793460	145546
169	797692	140769
170	802446	136087
171	807208	131406
172	812083	126741
173	816200	121960
174	820816	117259
175	825108	112514
176	830506	107918
177	836072	103334
178	840453	98600
179	844840	93871
180	848655	89085
181	853487	84410
182	858190	79722
183	864452	75169
184	868925	70453
185	873102	65717
186	877336	60991
187	882680	56341
188	886955	51621
189	891192	46904
190	895408	42192
191	899606	37483
192	902704	32740
193	907342	28062
194	911952	23383
195	916419	18702
196	920758	14021
197	925834	9351
198	930837	4677
199	934792	0
